2018-07-01,,
2018-07-02,,
2018-07-03,,
2018-07-04,,
2018-07-05,,
2018-07-06,,
2018-07-07,,
2018-07-08,,
2018-07-09,or,pa
2018-07-10,pl,
2018-07-11,,
2018-07-12,or,sf
2018-07-13,pa,
2018-07-14,ve,
2018-07-15,,
2018-07-16,or,pa
2018-07-17,pl,
2018-07-18,ca,
2018-07-19,or,sf
2018-07-20,pa,
2018-07-21,in,
2018-07-22,,
2018-07-23,or,pa
2018-07-24,pl,
2018-07-25,,
2018-07-26,or,
2018-07-27,pa,
2018-07-28,ve,
2018-07-29,,
2018-07-30,or,pa
2018-07-31,pl,
2018-08-01,ca,
2018-08-02,or,
2018-08-03,pa,
2018-08-04,in,
2018-08-05,,
2018-08-06,or,pa
2018-08-07,pl,
2018-08-08,,
2018-08-09,or,
2018-08-10,pa,
2018-08-11,ve,
2018-08-12,,
2018-08-13,or,pa
2018-08-14,pl,
2018-08-15,,
2018-08-16,or,ca
2018-08-17,pa,
2018-08-18,in,
2018-08-19,,
2018-08-20,or,pa
2018-08-21,pl,
2018-08-22,,
2018-08-23,or,
2018-08-24,pa,
2018-08-25,ve,
2018-08-26,,
2018-08-27,or,pa
2018-08-28,pl,
2018-08-29,ca,
2018-08-30,or,sf
2018-08-31,pa,
2018-09-01,in,
2018-09-02,,
2018-09-03,or,pa
2018-09-04,pl,
2018-09-05,,
2018-09-06,or,sf
2018-09-07,pa,
2018-09-08,ve,
2018-09-09,,
2018-09-10,or,pa
2018-09-11,pl,
2018-09-12,ca,
2018-09-13,or,sf
2018-09-14,pa,
2018-09-15,in,
2018-09-16,,
2018-09-17,or,pa
2018-09-18,pl,
2018-09-19,,
2018-09-20,or,sf
2018-09-21,pa,
2018-09-22,ve,
2018-09-23,,
2018-09-24,or,pa
2018-09-25,pl,
2018-09-26,ca,
2018-09-27,or,sf
2018-09-28,pa,
2018-09-29,in,
2018-09-30,,
2018-10-01,or,pa
2018-10-02,pl,
2018-10-03,,
2018-10-04,or,sf
2018-10-05,pa,
2018-10-06,ve,
2018-10-07,,
2018-10-08,or,pa
2018-10-09,,
2018-10-10,ca,
2018-10-11,or,sf
2018-10-12,pa,
2018-10-13,in,
2018-10-14,,
2018-10-15,or,pa
2018-10-16,pl,
2018-10-17,,
2018-10-18,or,sf
2018-10-19,pa,
2018-10-20,ve,
2018-10-21,,
2018-10-22,or,pa
2018-10-23,,
2018-10-24,ca,
2018-10-25,or,sf
2018-10-26,pa,
2018-10-27,in,
2018-10-28,,
2018-10-29,or,pa
2018-10-30,pl,
2018-10-31,,
2018-11-01,or,sf
2018-11-02,pa,
2018-11-03,ve,
2018-11-04,,
2018-11-05,or,pa
2018-11-06,,
2018-11-07,ca,
2018-11-08,or,sf
2018-11-09,pa,
2018-11-10,in,
2018-11-11,,
2018-11-12,or,pa
2018-11-13,pl,
2018-11-14,,
2018-11-15,or,sf
2018-11-16,pa,
2018-11-17,ve,
2018-11-18,,
2018-11-19,or,pa
2018-11-20,,
2018-11-21,ca,
2018-11-22,or,sf
2018-11-23,pa,
2018-11-24,in,
2018-11-25,,
2018-11-26,or,pa
2018-11-27,pl,
2018-11-28,,
2018-11-29,or,sf
2018-11-30,pa,
2018-12-01,ve,
2018-12-02,,
2018-12-03,or,pa
2018-12-04,,
2018-12-05,ca,
2018-12-06,or,sf
2018-12-07,in,pa
2018-12-08,,
2018-12-09,,
2018-12-10,or,pa
2018-12-11,pl,
2018-12-12,,
2018-12-13,or,sf
2018-12-14,pa,
2018-12-15,ve,
2018-12-16,,
2018-12-17,or,pa
2018-12-18,,
2018-12-19,ca,
2018-12-20,or,sf
2018-12-21,pa,
2018-12-22,in,
2018-12-23,,
2018-12-24,or,pa
2018-12-25,,
2018-12-26,pl,
2018-12-27,or,
2018-12-28,pa,
2018-12-29,ve,
2018-12-30,,
2018-12-31,or,pa
2019-01-01,,
2019-01-02,ca,
2019-01-03,or,
2019-01-04,pa,
2019-01-05,in,
2019-01-06,,
2019-01-07,or,pa
2019-01-08,pl,
2019-01-09,,
2019-01-10,or,
2019-01-11,pa,
2019-01-12,ve,
2019-01-13,,
2019-01-14,or,pa
2019-01-15,,
2019-01-16,ca,
2019-01-17,or,
2019-01-18,pa,
2019-01-19,in,
2019-01-20,,
2019-01-21,or,pa
2019-01-22,pl,
2019-01-23,,
2019-01-24,or,
2019-01-25,pa,
2019-01-26,ve,
2019-01-27,,
2019-01-28,or,pa
2019-01-29,,
2019-01-30,ca,
2019-01-31,or,
2019-02-01,pa,
2019-02-02,in,
2019-02-03,,
2019-02-04,or,pa
2019-02-05,pl,
2019-02-06,,
2019-02-07,or,
2019-02-08,pa,
2019-02-09,ve,
2019-02-10,,
2019-02-11,or,pa
2019-02-12,,
2019-02-13,ca,
2019-02-14,or,
2019-02-15,pa,
2019-02-16,in,
2019-02-17,,
2019-02-18,or,pa
2019-02-19,pl,
2019-02-20,,
2019-02-21,or,
2019-02-22,pa,
2019-02-23,ve,
2019-02-24,,
2019-02-25,or,pa
2019-02-26,,
2019-02-27,ca,
2019-02-28,or,
